id,name,province_id
1,An Phú,1
2,Châu Đốc,1
3,Châu Phú,1
4,Châu Thành,1
5,Chợ Mới,1
6,Long Xuyên,1
7,Phú Tân,1
8,Tân Châu,1
9,Thoại Sơn,1
10,Tịnh Biên,1
11,Tri Tôn,1
12,Côn Đảo,2
13,Đất Đỏ,2
14,Tân Thành,2
15,Vũng Tàu,2
16,Xuyên Mộc,2
17,Bà Rịa,2
18,Châu Đức,2
19,Long Điền,2
20,Bắc Giang,5
21,Hiệp Hòa,5
22,Lạng Giang,5
23,Lục Nam,5
24,Lục Ngạn,5
25,Sơn Động,5
26,Tân Yên,5
27,Việt Yên,5
28,Yên Dũng,5
29,Yên Thế,5
30,Ba Bể,4
31,Bạch Thông,4
32,Bắc Kạn,4
33,Chợ Đồn,4
34,Chợ Mới,4
35,Na Rì,4
36,Ngân Sơn,4
37,Pác Nặm,4
38,Bạc Liêu,3
39,Đông Hải,3
40,Giá Rai,3
41,Hoà Bình,3
42,Hồng Dân,3
43,Phước Long,3
44,Vĩnh Lợi,3
45,Bắc Ninh,6
46,Gia Bình,6
47,Lương Tài,6
48,Quế Võ,6
49,Thuận Thành,6
50,Tiên Du,6
51,Từ Sơn,6
52,Yên Phong,6
53,Ba Tri,7
54,Bến Tre,7
55,Bình Đại,7
56,Châu Thành,7
57,Chợ Lách,7
58,Giồng Trôm,7
59,Mỏ Cày Bắc,7
60,Mỏ Cày Nam,7
61,Thạnh Phú,7
62,An Lão,9
63,An Nhơn,9
64,Hoài Ân,9
65,Hoài Nhơn,9
66,Phù Cát,9
67,Phù Mỹ,9
68,Quy Nhơn,9
69,Tây Sơn,9
70,Tuy Phước,9
71,Vân Canh,9
72,Vĩnh Thạnh,9
73,Bàu Bàng,8
74,Bắc Tân Uyên,8
75,Bến Cát,8
76,Dầu Tiếng,8
77,Dĩ An,8
78,Phú Giáo,8
79,Tân Uyên,8
80,Thủ Dầu Một,8
81,Thuận An,8
82,Bình Long,10
83,Bù Đăng,10
84,Bù Đốp,10
85,Bù Gia Mập,10
86,Chơn Thành,10
87,Đồng Phú,10
88,Đồng Xoài,10
89,Hớn Quản,10
90,Lộc Ninh,10
91,Phú Riềng,10
92,Phước Long,10
93,Bắc Bình,11
94,Đức Linh,11
95,Hàm Tân,11
96,Hàm Thuận Bắc,11
97,Hàm Thuận Nam,11
98,La Gi,11
99,Phan Thiết,11
100,Phú Quý,11
101,Tánh Linh,11
102,Tuy Phong,11
103,Cà Mau,12
104,Cái Nước,12
105,Đầm Dơi,12
106,Năm Căn,12
107,Ngọc Hiển,12
108,Phú Tân,12
109,Thới Bình,12
110,Trần Văn Thời,12
111,U Minh,12
112,Bình Thủy,14
113,Cái Răng,14
114,Cờ Đỏ,14
115,Ninh Kiều,14
116,Ô Môn,14
117,Phong Điền,14
118,Thốt Nốt,14
119,Thới Lai,14
120,Vĩnh Thạnh,14
121,Bảo Lạc,13
122,Bảo Lâm,13
123,Cao Bằng,13
124,Hà Quảng,13
125,Hạ Lang,13
126,Hòa An,13
127,Nguyên Bình,13
128,Phục Hòa,13
129,Quảng Uyên,13
130,Thạch An,13
131,Thông Nông,13
132,Trà Lĩnh,13
133,Trùng Khánh,13
134,Cẩm Lệ,15
135,Hải Châu,15
136,Hòa Vang,15
137,Hoàng Sa,15
138,Liên Chiểu,15
139,Ngũ Hành Sơn,15
140,Sơn Trà,15
141,Thanh Khê,15
142,Buôn Đôn,16
143,Buôn Hồ,16
144,Buôn Ma Thuột,16
145,Cư Kuin,16
146,Cư M'gar,16
147,Ea H'leo,16
148,Ea Kar,16
149,Ea Súp,16
150,Krông Ana,16
151,Krông Bông,16
152,Krông Búk,16
153,Krông Năng,16
154,Krông Pắk,16
155,Lắk,16
156,M'Đrăk,16
157,Gia Nghĩa,17
158,Tuy Đức,17
159,Cư Jút,17
160,Đắk Glong,17
161,Đắk Mil,17
162,Đắk R'lấp,17
163,Đăk Song,17
164,Krông Nô,17
165,Điện Biên,20
166,Điện Biên Đông,20
167,Điện Biên Phủ,20
168,Mường Ảng,20
169,Mường Chà,20
170,Mường Lay,20
171,Mường Nhé,20
172,Nậm Pồ,20
173,Tủa Chùa,20
174,Tuần Giáo,20
175,Biên Hòa,18
176,Cẩm Mỹ,18
177,Định Quán,18
178,Long Khánh,18
179,Long Thành,18
180,Nhơn Trạch,18
181,Tân Phú,18
182,Thống Nhất,18
183,Trảng Bom,18
184,Vĩnh Cửu,18
185,Xuân Lộc,18
186,Cao Lãnh,19
187,Cao Lãnh,19
188,Châu Thành,19
189,Hồng Ngự,19
190,Hồng Ngự,19
191,Lai Vung,19
192,Lấp Vò,19
193,Sa Đéc,19
194,Tam Nông,19
195,Tân Hồng,19
196,Thanh Bình,19
197,Tháp Mười,19
198,An Khê,21
199,Ayun Pa,21
200,Chư Păh,21
201,Chư Prông,21
202,Chư Pưh,21
203,Chư Sê,21
204,Đắk Đoa,21
205,Đak Pơ,21
206,Đức Cơ,21
207,Ia Grai,21
208,Ia Pa,21
209,KBang,21
210,Kông Chro,21
211,Krông Pa,21
212,Mang Yang,21
213,Phú Thiện,21
214,Pleiku,21
215,Bắc Mê,22
216,Bắc Quang,22
217,Đồng Văn,22
218,Hà Giang,22
219,Hoàng Su Phì,22
220,Mèo Vạc,22
221,Quản Bạ,22
222,Quang Bình,22
223,Vị Xuyên,22
224,Xín Mần,22
225,Yên Minh,22
226,Bình Lục,23
227,Duy Tiên,23
228,Kim Bảng,23
229,Lý Nhân,23
230,Phủ Lý,23
231,Thanh Liêm,23
232,Ba Đình,24
233,Ba Vì,24
234,Bắc Từ Liêm,24
235,Cầu Giấy,24
236,Chương Mỹ,24
237,Đan Phượng,24
238,Đông Anh,24
239,Đống Đa,24
240,Gia Lâm,24
241,Hà Đông,24
242,Hai Bà Trưng,24
243,Hoài Đức,24
244,Hoàn Kiếm,24
245,Hoàng Mai,24
246,Long Biên,24
247,Mê Linh,24
248,Mỹ Đức,24
249,Nam Từ Liêm,24
250,Phú Xuyên,24
251,Phúc Thọ,24
252,Quốc Oai,24
253,Sóc Sơn,24
254,Sơn Tây,24
255,Tây Hồ,24
256,Thạch Thất,24
257,Thanh Oai,24
258,Thanh Trì,24
259,Thanh Xuân,24
260,Thường Tín,24
261,Ứng Hòa,24
262,Can Lộc,25
263,Cẩm Xuyên,25
264,Đức Thọ,25
265,Hà Tĩnh,25
266,Hồng Lĩnh,25
267,Hương Khê,25
268,Hương Sơn,25
269,Kỳ Anh,25
270,Kỳ Anh,25
271,Lộc Hà,25
272,Nghi Xuân,25
273,Thạch Hà,25
274,Vũ Quang,25
275,Bình Giang,26
276,Cẩm Giàng,26
277,Chí Linh,26
278,Gia Lộc,26
279,Hải Dương,26
280,Kim Thành,26
281,Kinh Môn,26
282,Nam Sách,26
283,Ninh Giang,26
284,Thanh Hà,26
285,Thanh Miện,26
286,Tứ Kỳ,26
287,An Dương,27
288,An Lão,27
289,Bạch Long Vĩ,27
290,Cát Hải,27
291,Dương Kinh,27
292,Đồ Sơn,27
293,Hải An,27
294,Hồng Bàng,27
295,Kiến An,27
296,Kiến Thụy,27
297,Lê Chân,27
298,Ngô Quyền,27
299,Thuỷ Nguyên,27
300,Tiên Lãng,27
301,Vĩnh Bảo,27
302,Châu Thành,29
303,Châu Thành A,29
304,Long Mỹ,29
305,Long Mỹ,29
306,Ngã Bảy,29
307,Phụng Hiệp,29
308,Vị Thanh,29
309,Vị Thủy,29
310,Cao Phong,28
311,Đà Bắc,28
